,Full_OLS_RMSE_test,Full_OLS_RMSE_test_without_CP,Full_OLS_RMSE_train,Full_OLS_RMSE_train_without_CP,Full_RF_RMSE_test,Full_RF_RMSE_test_without_CP,Full_RF_RMSE_train,Full_RF_RMSE_train_without_CP
0,14.313614441212161,14.31687335236555,14.110984612907988,14.115432635709166,14.110122162121643,14.109037423091792,13.532486967763406,13.527582554874298
1,14.145731450287894,14.142772628022662,14.154782927962358,14.15957246415788,13.998162065112053,14.003146872847374,13.531215080190405,13.75784130092791
2,14.47979415966977,14.482204055572728,14.07067612692313,14.074248377962695,14.362183640627299,14.361343811819355,13.431086979282124,13.462576375915425
3,14.463612292396954,14.466644997717431,14.07484126116382,14.078984046684466,14.156851837636886,14.167711077115522,13.656316348153938,13.655954096829126
4,14.54619425876809,14.53777652101185,14.05535969417969,14.06028027528349,14.34055590033282,14.322786829117012,13.474620627569369,13.629487535988236
5,14.256558985044856,14.25714491641423,14.126534028302522,14.131259174497671,13.992592265995714,14.014018610653673,13.70699512703018,13.710169119501872
6,14.21407366121616,14.213729980526749,14.137580876999778,14.142075349285413,13.969887684040534,13.94544046612399,13.573263991645772,13.535338382213002
7,14.195986303260053,14.1992286416047,14.142871848160091,14.146451124167509,13.93754027821553,13.926302382729599,13.536313758687402,13.572476810202
8,13.991910446081981,13.995921777297244,14.192489759782573,14.196330444354645,13.748811860152596,13.73897307312129,13.764901531602003,13.766189764472905
9,13.279265908726606,13.279022803118485,14.362494012267629,14.367328142083453,13.063361667052318,13.056680161557281,13.940537464107289,13.937784935626658
10,14.142488266717862,14.137198992649235,14.155684971626835,14.161345473100468,13.878847720429256,13.867009491629597,13.767464857904246,13.764724962108284
11,14.621162814714083,14.6068363194843,14.034452532481689,14.041769766000183,14.375097189581126,14.383406956168468,13.610334309744905,13.612031952855776
12,14.181249681550211,14.191455408499165,14.145636857967567,14.147522233140176,13.971412132975791,13.963246955892236,13.568013041547228,13.807832646413004
13,14.10674114519094,14.11392914616377,14.163842403565777,14.167013580812524,13.804601154534275,13.834341225119152,13.596195415201365,13.747508501964319
14,13.921873439681125,13.919002968738948,14.21139828499689,14.216966970516655,13.650207725246766,13.631546892225751,13.64159275188783,13.629880083009935
15,14.484044547800808,14.490037616312875,14.071762374937546,14.07509630259821,14.385722666598737,14.35116905800984,13.432395772236122,13.623067638029331
16,14.19829329270965,14.200762431137475,14.143481002806945,14.147636410877636,13.939150416518299,13.96187481032569,13.761696528757724,13.710094090222263
17,14.269737383178953,14.274743431240035,14.12737074158076,14.130331061218525,13.9030137030149,13.917856132625417,13.738723657715878,13.745997162432221
18,14.74704778242549,14.749944233885826,14.003037335503736,14.00739309689985,14.644338460834954,14.635113337070335,13.353708533635523,13.530674929809035
19,14.346197439913304,14.355303118745246,14.104678089835845,14.107134463353308,14.125460421707553,14.122189383059121,13.45990620744176,13.459048254830059
20,13.915683548167538,13.910011252300643,14.211414402651698,14.217567385625722,13.667198895245111,13.658766067632438,13.589882702707449,13.640967501149376
21,14.07088672547859,14.068383941464893,14.17425971222088,14.17864761233713,13.818174857644488,13.828413595887527,13.780266005401314,13.822909617088024
22,14.779503123679646,14.777841080353815,13.992004275487743,13.996993020590311,14.486292328603216,14.503853125580742,13.57369600303382,13.572141360828462
23,14.120371632185957,14.1193051253321,14.160890273943242,14.166097150393556,13.85018855970555,13.833523244119355,13.557052525308459,13.57794974661817
24,14.158065159541202,14.1575569920683,14.150822244370527,14.156002106063243,13.864029486347352,13.843050485315276,13.73984105019284,13.588682868957967
25,13.999567599999232,14.004498810593594,14.19100118482219,14.195053026383446,13.775875601003465,13.773020179613383,13.606508979131533,13.594159915656624
26,13.98105636169079,13.969244662879616,14.197248062377316,14.203189881201702,13.741882522768632,13.730858120851671,13.780313104590556,13.7776485592412
27,14.370475612130017,14.377037435542087,14.097953564421191,14.1014265120158,14.119902244244921,14.112021590813457,13.678875190645197,13.683248462163672
28,14.355426165183315,14.35037917740504,14.103302463106658,14.108653755550542,14.136459815658801,14.145970193673332,13.48165683389148,13.479196065579885
29,13.790251166560372,13.789981825461137,14.242051504638084,14.247122841097005,13.578294005519522,13.577810386870487,13.651915207545185,13.65461585511634
30,14.04758442024175,14.044342426295504,14.179329651125327,14.184584520837907,13.848532546030388,13.843352759387294,13.59096597509979,13.582719307749727
31,14.54417942988672,14.551845388140492,14.053176587398527,14.055730513120412,14.353137231277541,14.339437079589631,13.422899861129023,13.453742415035906
32,13.978583269287475,13.985706798600296,14.196171618389092,14.199032058761295,13.784975888055499,13.783522561696707,13.837433272350358,13.759409448882158
33,14.275922301015758,14.280076638068119,14.123046868843598,14.125926551398814,14.039869529797821,14.03723626709557,13.512579094172,13.50768019047356
34,13.802214695875474,13.811035644554307,14.239051027653604,14.24169963133997,13.476709697873105,13.472145846442386,13.840308144332381,13.842531056875762
35,13.981943913195982,13.974497067026462,14.194818057431826,14.201293054780084,13.703877336269361,13.702550095681481,13.775823994975203,13.77947571838212
36,14.420453956627085,14.420774486395578,14.084937336161191,14.089977563069406,14.26986884685135,14.260891038527108,13.608707796682324,13.634474778746098
37,14.29493422580021,14.290921761093223,14.11788082063075,14.123863215946988,13.99360628266291,13.978015351108278,13.755416777980013,13.75633686115914
38,14.111665303306962,14.108672752613108,14.165967751196712,14.16974485088227,13.931889865588165,13.941397507858088,13.729057628839612,13.571123599661352
39,14.374963719135428,14.380018567600642,14.096792630384579,14.100345923701813,14.144627559655593,14.147776798907033,13.524050761218676,13.510089191499594
40,14.494800471970407,14.480716014797622,14.06792473125415,14.074657726206976,14.280880244605054,14.2781881096612,13.645890333990586,13.676134785212454
41,14.134280996842906,14.14147392860521,14.15937410133454,14.162351584517161,13.95400893427591,13.940747534366508,13.57356972061977,13.556822082020858
42,14.267705561834328,14.27246781944215,14.123664470027588,14.127633778401176,14.133487302663639,14.109720188609309,13.539642386457023,13.520154643057634
43,14.464766986902795,14.470560037725152,14.073851177869852,14.077640876842853,14.24021750752884,14.2436624375003,13.498698909108757,13.490389047041306
44,13.965843786128554,13.94017168184384,14.201343493732246,14.210374516732388,13.725487784812474,13.716095671307615,13.807255698284655,13.811554074619359
45,14.154167085590656,14.157817313909494,14.15167975994204,14.155792022434543,13.983434187725365,13.969908971404738,13.742925933421244,13.74410400345058
46,14.141688632595708,14.140482729711845,14.157256641355415,14.162559441304841,13.889451532913736,13.879537355260142,13.727715015990483,13.722593332467557
47,13.980190197356217,13.98400431117327,14.195648593137172,14.199172407878072,13.83124967511642,13.817968958208645,13.749687428414727,13.748039573690827
48,14.047863321265433,14.046242448407813,14.180124255707348,14.185699014355865,13.851569479003105,13.837488842886792,13.733863725006476,13.750955007715158
49,14.075360197094081,14.073354635103703,14.172911764204907,14.178571114845457,13.808555326208962,13.8084099073878,13.75596673520808,13.760837581923584
